date	id	age	gender	newsws	days_news	subcat	title	image	author	datetime	text	sentiment	author_bio	passed	finished
[28/Apr/2020:12:58:07]	f07rkuha4k2a6svvs4l8rcn1f4	45-54	Male	1	6	4	5	5	3	4	5	5	2	FALSE	TRUE
[28/Apr/2020:13:07:34]	bkth9sldqcqhu6q53q33o4b8be	25-34	Male	2	7	4	5	3	1	2	4	4	1	FALSE	TRUE
[28/Apr/2020:13:01:49]	3qg98197ps6bt6n68drqp4v1pj	25-34	Male	2	5	5	5	2	2	3	5	5	1	TRUE	TRUE
[28/Apr/2020:12:58:11]	usjg28taumh4ru55ucqqoe7f65	25-34	Male	2	6	3	4	4	3	2	4	4	4	FALSE	TRUE
[28/Apr/2020:13:16:09]	0bgkpfv63o22shucj8ll2lr14q	25-34	Male	1	2	3	4	5	4	3	4	4	5	FALSE	TRUE
[28/Apr/2020:13:01:22]	ep3u1kad1g9on3rtaq6s4mn5kh	25-34	Male	2	0	3	5	1	1	1	4	3	1	FALSE	TRUE
[28/Apr/2020:12:59:04]	rd96pelbc6sg63oap2j5aga32u	25-34	Female	3	0	4	4	3	2	1	3	3	1	TRUE	TRUE
[28/Apr/2020:13:02:26]	92gppqmoprd0dctts7d0s0dc7j	>55	Male	5	1	5	5	5	2	5	5	5	2	FALSE	TRUE
[28/Apr/2020:13:05:34]	04jfn5kvhuajoq1te91tme8171	45-54	Male	1	7	4	5	3	1	1	5	5	1	FALSE	TRUE
[28/Apr/2020:13:08:21]	7d4ldvkp242os7pmbm9b1obeat	25-34	Male	1	7	5	5	4	5	5	5	4	5	FALSE	TRUE
[28/Apr/2020:13:07:59]	f98pucmbli49bp4724k5n9e1fo	25-34	Female	1	2	3	4	3	1	1	4	2	1	TRUE	TRUE
[28/Apr/2020:13:11:31]	e8qq82r51oa9cnt8l0tsvsdthd	35-44	Female	1	5	3	4	2	1	1	5	5	1	TRUE	TRUE
[28/Apr/2020:13:15:03]	l9hh65k01e5bfhe4s66ivcsoq3	45-54	Female	1	7	1	3	2	1	1	5	3	1	TRUE	TRUE
[28/Apr/2020:13:10:46]	kpbuan723d2igqoihdr3p6p9pn	45-54	Male	1	4	3	3	4	4	4	3	3	4	FALSE	TRUE
[28/Apr/2020:13:10:48]	ullc6v213buh7h6mpkjucdklr4	25-34	Female	5	0	3	5	5	2	1	4	5	1	FALSE	TRUE
[28/Apr/2020:13:10:42]	n50i8q7sainv8j06mc1i33g2vl	25-34	Male	5	0	2	4	2	2	2	4	2	2	FALSE	TRUE
[28/Apr/2020:13:15:14]	t46gcfrm9sideno6ulvlm5li9b	45-54	Male	1	7	5	5	3	1	3	5	1	1	TRUE	TRUE
[28/Apr/2020:13:35:59]	94urebt98l1vamuartk389quvj	25-34	Male	2	2	3	4	4	3	5	4	4	4	TRUE	TRUE
[28/Apr/2020:13:15:09]	6iet2d5rpjbv7bmo5cdd2ilk8h	45-54	Male	1	3	2	3	4	5	3	4	2	5	FALSE	TRUE
[28/Apr/2020:13:26:58]	g2mp6sq87j11i5cvnhrvai9tsu	>55	Male	3	3	3	5	5	2	2	3	3	3	FALSE	TRUE
[28/Apr/2020:13:17:29]	quev6prgg8bmlbl7cf74abq1hh	25-34	Male	5	0	5	4	4	4	1	4	3	1	TRUE	TRUE
[28/Apr/2020:14:04:48]	bdi9dg0oka23tac3joc3e1vedb	>55	Male	5	5	5	5	2	1	5	5	5	1	TRUE	TRUE
[28/Apr/2020:14:00:45]	633i94hlspsdasbuu6uq94je1b	25-34	Male	1	5	4	5	4	5	4	4	5	4	FALSE	TRUE
[28/Apr/2020:14:02:08]	u63g5h2ogqo9c9943p510pkmqd	>55	Female	5	0	3	3	2	1	5	5	5	1	TRUE	TRUE
[28/Apr/2020:14:17:51]	0bts0g38fbjaepmdf8lav5a7v9	25-34	Female	2	2	5	5	3	1	5	5	5	1	TRUE	TRUE
[28/Apr/2020:14:06:15]	c0uajjpfqcq3ti2hl6eoc1pu7t	45-54	Male	1	7	5	5	5	5	5	5	5	1	TRUE	TRUE
