date	id	r1	r2	rating	fam1	fam2	conf	rand	step	timediff	all	title_lev	title_jw	title_lcs	title_bigram	title_lda	text_sent	text_lda	text_tfidf	text50_tfidf	sharpness	entropy	brightness	colorfulness	embeddings	contrast	bio_tfidf	bio_lda	author_jacc	daydist	subcat_jacc	passed	finished	id2	date2	age	gender	newsws	days_news	subcat	title	image	author	datetime	text	sentiment	author_bio
[28/Apr/2020:11:35:18]	hvm8itcdlef2304oaohb6dfr5n	0c6cf67358909aa20daf1a9b70383df4	c941ffd7877dcee49ce71ff3204d87a4	1	1	1	5	7	1	105.0	0.38684203633072045	0.16000000000000006	0.61	0.28	0.06818181818181818	0.0	0.9939123376623376	0.0	0.029303511162021262	0.01663888856248276	0.901787933003508	0.9409770238561528	0.7571964486884446	0.9089431264881278	0.16420306068817714	0.880535331285811	0.028640372284035917	0.0	0.0	0.9965208747514912	0.0	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
[28/Apr/2020:11:36:06]	hvm8itcdlef2304oaohb6dfr5n	797bdd88667188fc2e90ace4767fcb6e	12aacb04-47c5-11e7-a196-a1bb629f64cb	1	1	1	5	7	2	48.0	0.3570782964466842	0.2065217391304348	0.51	0.2282608695652174	0.060869565217391314	0.0	0.9829139610389612	0.0	0.0147916919603786	0.008076113364112403	0.9080907300377188	0.935450563862876	0.8923951890983702	0.9184320025877718	0.2339632486729373	0.7544427928209166	0.0	0.0	0.0	0.4873574615765989	0.0	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
[28/Apr/2020:11:36:42]	hvm8itcdlef2304oaohb6dfr5n	c5ebc4db460b6a27866f04d79bc9d4f2	e2efd684878d3c28b555bcf0407b92e5	2	1	1	5	7	3	36.0	0.34540176553665614	0.11290322580645162	0.42	0.11290322580645162	0.02666666666666667	0.0	0.9163888888888888	0.0	0.008948676326057245	0.0	0.4790246178690726	0.827690634500142	0.8160643183197633	0.9341145676157572	0.44029772837866404	0.9272629320352744	0.21926858782514425	0.0	0.0	0.6665012406947889	0.0	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
[28/Apr/2020:11:37:13]	hvm8itcdlef2304oaohb6dfr5n	714edb97aea98243626290638901b2d3	bb8d90e7f0f8a68112ba79b2db36958a	1	1	1	5	7	4	31.0	0.32613321575766	0.2021276595744681	0.65	0.3085106382978723	0.125	0.0	1.0	0.0	0.010456379113135043	0.0	0.3933420295231677	0.9859084455295488	0.4785581225719942	0.9832090460891416	0.2356871730576907	0.7784665126042097	0.028640372284035917	0.0	0.0	0.3427579365079365	0.0	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
[28/Apr/2020:11:38:13]	hvm8itcdlef2304oaohb6dfr5n	c73ad474b4065709a066fb1a84fbe1d0	c7e47ebab1f5ebcefed7d08e86deb5e2	1	3	2	5	7	5	60.0	0.3106560126247425	0.16666666666666666	0.53	0.2222222222222222	0.1038961038961039	0.0	0.9008522727272728	0.0	0.05896327779694927	0.032098852155226607	0.15386677936040027	0.6911048408945817	0.5486267078431809	0.999489652114386	0.18220991922070645	0.9259933465336012	0.02219164580300556	0.0	0.0	0.6749379652605458	0.0	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
[28/Apr/2020:11:38:57]	hvm8itcdlef2304oaohb6dfr5n	f661fee8ed588faa0ccb206d08883d82	35ecb9771ed6dad02e199f9214b6d627	1	2	2	4	7	6	44.0	0.3063375091418564	0.18461538461538465	0.53	0.2461538461538461	0.04807692307692308	0.0	0.9319444444444444	0.0	0.027824514099736856	0.019669692172479814	0.15688197159064846	0.963945975787522	0.6052319324278918	0.9771876539428846	0.18991223995414114	0.96403813418396	0.07105428248443922	0.0	0.0	0.21021318790282595	0.0	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
[28/Apr/2020:11:39:28]	hvm8itcdlef2304oaohb6dfr5n	ae04d97197e1b7f4f14bb9f2012c4d3f	cd72017c7a3ecd344eb77b6fe16c585f	5	5	5	5	7	7	31.0	0.4326752447324254	0.3090909090909091	0.69	0.3272727272727273	0.1875	0.0	0.8541666666666666	0.0	0.1518886148717687	0.035832221867754165	0.6919538125894706	0.951877330829058	0.879283397224613	0.9221956632421744	0.5731695282710875	0.9697918233720464	0.21926858782514425	0.0	0.0	0.8902136115250869	0.0	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
[28/Apr/2020:11:40:33]	hvm8itcdlef2304oaohb6dfr5n	d145e75602540031bee1e72707c8b865	eae09fba-5448-11e6-b7de-dfe509430c39	2	1	1	4	7	8	65.0	0.2788816327925033	0.2297297297297297	0.66	0.32432432432432434	0.10743801652892562	0.0	0.9831845238095238	0.0	0.0419801303239506	0.009729207975211663	0.2734939816653413	0.21255405701760188	0.2896556759510021	0.8731325986681959	0.17213848188829425	0.7891608168568529	0.0	0.0	0.0	0.6111111111111112	0.0	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
[28/Apr/2020:11:42:09]	hvm8itcdlef2304oaohb6dfr5n	2a52395b0cd827feb74b423bdbbf6368	6a9755276f122bb081d49e097004a7fc	2	1	1	5	7	9	96.0	0.3221938240648863	0.15652173913043474	0.39	0.15652173913043474	0.109375	0.0	0.8736607142857142	0.0	0.11231206174242836	0.03135224472903826	0.4602864804306465	0.7028415147726051	0.8095357956035731	0.987000918175126	0.2331652887406617	0.8845966353507146	0.0	0.0	0.0	0.5367063492063492	0.0	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
[28/Apr/2020:11:42:31]	hvm8itcdlef2304oaohb6dfr5n	dd82e1f5b8ccf913b6db3e18c71582d5	1dfaa5b0-0b11-11e2-bd1a-b868e65d57eb	1	1	2	5	7	10	22.0	0.31470884056596854	0.17647058823529416	0.57	0.2794117647058824	0.09803921568627452	0.0	0.9067708333333332	0.0	0.04084999124208466	0.0	0.23850477573780385	0.5287055543596031	0.4941737245784954	0.7375499639101833	0.3102583366698605	0.8631874534128674	0.02519257470823408	0.0	0.0	0.5250620347394541	0.5	TRUE	TRUE	hvm8itcdlef2304oaohb6dfr5n	[28/Apr/2020:11:43:39]	>55	Female	5	1	4	4	4	2	4	5	3	1
